iter	Logloss
0	0.08618895172
1	0.03110055765
2	0.01273540922
3	0.005155537521
4	0.003141396253
5	0.002562597196
6	0.002231803745
7	0.002171472266
8	0.002070567705
9	0.00193498599
10	0.001880408494
11	0.001821347108
12	0.001774099918
13	0.0017544552
14	0.001727218374
15	0.001638625578
16	0.001618689427
17	0.001553077548
18	0.001530718993
19	0.001510157856
20	0.001496218079
21	0.001487346976
22	0.001462668053
23	0.00144898913
24	0.001414997104
25	0.001398779476
26	0.001386915661
27	0.001366271777
28	0.001358475708
29	0.001346155666
30	0.001335713011
31	0.001327834582
32	0.001313391738
33	0.001308507306
34	0.001302018846
35	0.001298635915
36	0.001289097865
37	0.001287376486
38	0.001286359018
39	0.001264143088
40	0.001255853118
41	0.001252467869
42	0.001244569416
43	0.001233554687
44	0.001228421445
45	0.001220503374
46	0.001213088289
47	0.001206354786
48	0.001200621023
49	0.001185305329
50	0.001182664122
51	0.001174064629
52	0.001165551584
53	0.001163377845
54	0.00115857975
55	0.001143692241
56	0.0011326066
57	0.001119431732
58	0.001104154818
59	0.001092581449
60	0.001090326256
61	0.001083877853
62	0.001075719627
63	0.001071953835
64	0.001065045941
65	0.001062054593
66	0.001060717084
67	0.00104892183
68	0.001036108062
69	0.001029391933
70	0.001018136228
71	0.001012940299
72	0.001007147568
73	0.00100018546
74	0.0009948676487
75	0.0009918730033
76	0.0009898734098
77	0.0009814749036
78	0.0009710813869
79	0.0009683805989
80	0.0009656813049
81	0.0009584906331
82	0.0009573482274
83	0.0009555307783
84	0.0009548102074
85	0.0009540240843
86	0.0009530568319
87	0.000951194649
88	0.000948659308
89	0.0009431882281
90	0.0009394834913
91	0.0009354459536
92	0.0009303939681
93	0.0009251448151
94	0.0009228062546
95	0.0009205300318
96	0.000917233039
97	0.0009160241899
98	0.0009131604278
99	0.0009117970433
100	0.0009109302627
101	0.0009107519566
102	0.0009085895127
103	0.0009058268373
104	0.0008989338479
105	0.0008935817505
106	0.0008926548731
107	0.0008903135772
108	0.0008865810281
109	0.0008814404217
110	0.0008777051443
111	0.0008747027455
112	0.0008744366156
113	0.0008715221437
114	0.0008708195942
115	0.0008685385544
116	0.0008666443114
117	0.0008641155907
118	0.0008594779643
119	0.0008589762395
120	0.0008548677044
121	0.0008517184465
122	0.0008514903269
123	0.0008509686751
124	0.0008504215881
125	0.0008496066302
126	0.0008459950048
127	0.0008441775195
128	0.0008440549257
129	0.0008427067599
130	0.0008417279365
131	0.0008397121845
132	0.0008371041352
133	0.0008353009283
134	0.0008345738146
135	0.0008330608509
136	0.0008320803993
137	0.0008306947331
138	0.0008299506624
139	0.0008232323901
140	0.0008192056382
141	0.0008166823037
142	0.0008138634478
143	0.0008128891064
144	0.0008120260892
145	0.0008107960814
146	0.0008095438433
147	0.0008071374788
148	0.0008064850368
149	0.000805741445
150	0.0008039867197
151	0.0008021203253
152	0.0007999126327
153	0.0007982896071
154	0.0007968901544
155	0.0007944170609
156	0.0007923979369
157	0.0007913093992
158	0.000790788344
159	0.0007904827742
160	0.0007901219324
161	0.0007889508773
162	0.00078809473
163	0.0007875137339
164	0.0007871043203
165	0.0007860027795
166	0.0007856233859
167	0.0007848626203
168	0.0007836425968
169	0.0007819749097
170	0.0007804657146
171	0.000776691234
172	0.0007733239981
173	0.0007710817982
174	0.000770042345
175	0.0007684429125
176	0.000766974888
177	0.0007655477131
178	0.0007649147318
179	0.0007644655226
180	0.0007624137357
181	0.0007609741482
182	0.0007602933008
183	0.0007583209421
184	0.0007564717187
185	0.0007562555261
186	0.00075545675
187	0.000754041775
188	0.0007535614561
189	0.0007532137079
190	0.0007526765745
191	0.000750869053
192	0.0007490044617
193	0.0007477719214
194	0.0007474941664
195	0.0007467984714
196	0.0007454169396
197	0.0007426059197
198	0.0007390263163
199	0.0007375160394
200	0.0007371573742
201	0.0007348373268
202	0.000733375109
203	0.0007300381046
204	0.0007271574927
205	0.0007249566573
206	0.0007237671457
207	0.0007224554963
208	0.0007216956425
209	0.0007205861678
210	0.0007194910232
211	0.0007191855896
212	0.0007178788217
213	0.0007166166534
214	0.0007164684286
215	0.0007152272515
216	0.0007138319874
217	0.0007132323824
218	0.0007111937507
219	0.0007102507533
220	0.0007098541936
221	0.0007093497229
222	0.0007083200609
223	0.0007070982033
224	0.0007059826448
225	0.0007051398563
226	0.0007037431522
227	0.0007019002245
228	0.0007004247148
229	0.0006999320806
230	0.000699218725
231	0.0006979937609
232	0.0006970385611
233	0.000696437686
234	0.0006959687529
235	0.0006946161642
236	0.0006933083349
237	0.0006924640549
238	0.0006908753204
239	0.0006888591526
240	0.0006878946051
241	0.0006872343784
242	0.0006863162748
243	0.0006851698869
244	0.0006831300395
245	0.0006819038951
246	0.0006800334642
247	0.0006785115342
248	0.000677844226
249	0.0006768172963
250	0.0006755432994
251	0.0006746499945
252	0.000672495626
253	0.0006710390494
254	0.0006702726426
255	0.0006692946693
256	0.0006683581167
257	0.0006663190809
258	0.0006657833873
259	0.0006642130704
260	0.00066346818
261	0.0006633697227
262	0.0006631246409
263	0.0006623144951
264	0.0006620065731
265	0.0006616371587
266	0.0006607551131
267	0.0006601329191
268	0.00065932842
269	0.0006585136757
270	0.000658441681
271	0.0006572658244
272	0.0006562595415
273	0.0006556604491
274	0.0006550635076
275	0.0006545268378
276	0.0006540605556
277	0.0006536571495
278	0.0006505919507
279	0.0006499078319
280	0.0006484565645
281	0.000647222428
282	0.000646446315
283	0.000645263864
284	0.0006450569857
285	0.0006444866949
286	0.0006432892811
287	0.0006428660658
288	0.0006414034229
289	0.0006406319054
290	0.000639510554
291	0.0006387253969
292	0.000638643784
293	0.0006365442751
294	0.0006364585996
295	0.0006359217469
296	0.0006351809242
297	0.000634047532
298	0.0006333834104
299	0.0006328664825
300	0.0006319776106
301	0.0006313186671
302	0.0006311087434
303	0.0006301463112
304	0.0006296018855
305	0.000627977031
306	0.000627350752
307	0.0006254199286
308	0.000624744738
309	0.0006234676293
310	0.0006230846242
311	0.0006222687487
312	0.0006218617205
313	0.0006212272091
